"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"2 years"	"2"	"Male"	"M"	"2009"	"2009"	167	352284	47.4
	"2 years"	"2"	"Male"	"M"	"2010"	"2010"	168	352270	47.7
	"2 years"	"2"	"Male"	"M"	"2011"	"2011"	160	343236	46.6
	"2 years"	"2"	"Male"	"M"	"2012"	"2012"	158	343297	46.0
	"2 years"	"2"	"Male"	"M"	"2013"	"2013"	141	345720	40.8
	"2 years"	"2"	"Male"	"M"	"2014"	"2014"	145	344811	42.1
	"2 years"	"2"	"Male"	"M"	"2015"	"2015"	152	344450	44.1
	"2 years"	"2"	"Male"	"M"	"2016"	"2016"	156	348157	44.8
	"2 years"	"2"	"Male"	"M"	"2017"	"2017"	141	349934	40.3
	"2 years"	"2"	"Male"	"M"	"2018"	"2018"	172	346938	49.6
	"2 years"	"2"	"Male"	"M"	"2019"	"2019"	142	337783	42.0
	"2 years"	"2"	"Male"	"M"	"2020 "	"2020"	149	349766	42.6
	"3 years"	"3"	"Female"	"F"	"2001"	"2001"	100	304674	32.8
	"3 years"	"3"	"Female"	"F"	"2002"	"2002"	83	302210	27.5
	"3 years"	"3"	"Female"	"F"	"2003"	"2003"	102	305344	33.4
	"3 years"	"3"	"Female"	"F"	"2004"	"2004"	95	316106	30.1
	"3 years"	"3"	"Female"	"F"	"2005"	"2005"	82	308011	26.6
	"3 years"	"3"	"Female"	"F"	"2006"	"2006"	76	304327	25.0
	"3 years"	"3"	"Female"	"F"	"2007"	"2007"	92	310331	29.6
	"3 years"	"3"	"Female"	"F"	"2008"	"2008"	103	317700	32.4
	"3 years"	"3"	"Female"	"F"	"2009"	"2009"	93	326160	28.5
	"3 years"	"3"	"Female"	"F"	"2010"	"2010"	72	338847	21.2
	"3 years"	"3"	"Female"	"F"	"2011"	"2011"	74	342892	21.6
	"3 years"	"3"	"Female"	"F"	"2012"	"2012"	92	333645	27.6
	"3 years"	"3"	"Female"	"F"	"2013"	"2013"	79	331951	23.8
	"3 years"	"3"	"Female"	"F"	"2014"	"2014"	78	333541	23.4
	"3 years"	"3"	"Female"	"F"	"2015"	"2015"	82	332081	24.7
	"3 years"	"3"	"Female"	"F"	"2016"	"2016"	75	333914	22.5
	"3 years"	"3"	"Female"	"F"	"2017"	"2017"	72	337026	21.4
	"3 years"	"3"	"Female"	"F"	"2018"	"2018"	76	338987	22.4
	"3 years"	"3"	"Female"	"F"	"2019"	"2019"	87	334621	26.0
	"3 years"	"3"	"Female"	"F"	"2020 "	"2020"	90	337882	26.6
	"3 years"	"3"	"Male"	"M"	"2001"	"2001"	128	315537	40.6
	"3 years"	"3"	"Male"	"M"	"2002"	"2002"	134	312136	42.9
	"3 years"	"3"	"Male"	"M"	"2003"	"2003"	143	315303	45.4
	"3 years"	"3"	"Male"	"M"	"2004"	"2004"	129	325681	39.6
	"3 years"	"3"	"Male"	"M"	"2005"	"2005"	145	317273	45.7
	"3 years"	"3"	"Male"	"M"	"2006"	"2006"	122	315066	38.7
	"3 years"	"3"	"Male"	"M"	"2007"	"2007"	120	320978	37.4
	"3 years"	"3"	"Male"	"M"	"2008"	"2008"	115	328815	35.0
	"3 years"	"3"	"Male"	"M"	"2009"	"2009"	103	336799	30.6
	"3 years"	"3"	"Male"	"M"	"2010"	"2010"	105	351674	29.9
	"3 years"	"3"	"Male"	"M"	"2011"	"2011"	113	353490	32.0
	"3 years"	"3"	"Male"	"M"	"2012"	"2012"	106	344347	30.8
	"3 years"	"3"	"Male"	"M"	"2013"	"2013"	98	343573	28.5
	"3 years"	"3"	"Male"	"M"	"2014"	"2014"	124	346493	35.8
	"3 years"	"3"	"Male"	"M"	"2015"	"2015"	121	344760	35.1
	"3 years"	"3"	"Male"	"M"	"2016"	"2016"	136	345747	39.3
	"3 years"	"3"	"Male"	"M"	"2017"	"2017"	121	348751	34.7
	"3 years"	"3"	"Male"	"M"	"2018"	"2018"	113	351166	32.2
	"3 years"	"3"	"Male"	"M"	"2019"	"2019"	95	344316	27.6
	"3 years"	"3"	"Male"	"M"	"2020 "	"2020"	97	349099	27.8
	"4 years"	"4"	"Female"	"F"	"2001"	"2001"	72	305607	23.6
	"4 years"	"4"	"Female"	"F"	"2002"	"2002"	83	305633	27.2
	"4 years"	"4"	"Female"	"F"	"2003"	"2003"	58	303566	19.1
	"4 years"	"4"	"Female"	"F"	"2004"	"2004"	78	307123	25.4
	"4 years"	"4"	"Female"	"F"	"2005"	"2005"	92	318521	28.9
	"4 years"	"4"	"Female"	"F"	"2006"	"2006"	77	310955	24.8
	"4 years"	"4"	"Female"	"F"	"2007"	"2007"	76	307670	24.7
	"4 years"	"4"	"Female"	"F"	"2008"	"2008"	65	313827	20.7
	"4 years"	"4"	"Female"	"F"	"2009"	"2009"	77	321196	24.0
	"4 years"	"4"	"Female"	"F"	"2010"	"2010"	59	329120	17.9
	"4 years"	"4"	"Female"	"F"	"2011"	"2011"	63	339964	18.5
	"4 years"	"4"	"Female"	"F"	"2012"	"2012"	68	344026	19.8
	"4 years"	"4"	"Female"	"F"	"2013"	"2013"	77	334416	23.0
	"4 years"	"4"	"Female"	"F"	"2014"	"2014"	60	333237	18.0
	"4 years"	"4"	"Female"	"F"	"2015"	"2015"	63	333696	18.9
	"4 years"	"4"	"Female"	"F"	"2016"	"2016"	80	333085	24.0
	"4 years"	"4"	"Female"	"F"	"2017"	"2017"	84	334969	25.1
	"4 years"	"4"	"Female"	"F"	"2018"	"2018"	60	338324	17.7
	"4 years"	"4"	"Female"	"F"	"2019"	"2019"	73	337629	21.6
	"4 years"	"4"	"Female"	"F"	"2020 "	"2020"	61	340411	17.9
	"4 years"	"4"	"Male"	"M"	"2001"	"2001"	104	315994	32.9
	"4 years"	"4"	"Male"	"M"	"2002"	"2002"	119	316515	37.6
	"4 years"	"4"	"Male"	"M"	"2003"	"2003"	94	313680	30.0
	"4 years"	"4"	"Male"	"M"	"2004"	"2004"	98	317298	30.9
	"4 years"	"4"	"Male"	"M"	"2005"	"2005"	81	328490	24.7
	"4 years"	"4"	"Male"	"M"	"2006"	"2006"	88	320640	27.4
	"4 years"	"4"	"Male"	"M"	"2007"	"2007"	92	318889	28.9
	"4 years"	"4"	"Male"	"M"	"2008"	"2008"	101	325116	31.1
	"4 years"	"4"	"Male"	"M"	"2009"	"2009"	78	333175	23.4
	"4 years"	"4"	"Male"	"M"	"2010"	"2010"	83	339626	24.4
	"4 years"	"4"	"Male"	"M"	"2011"	"2011"	99	353126	28.0
	"4 years"	"4"	"Male"	"M"	"2012"	"2012"	102	354507	28.8
	"4 years"	"4"	"Male"	"M"	"2013"	"2013"	88	344977	25.5
	"4 years"	"4"	"Male"	"M"	"2014"	"2014"	104	344909	30.2
	"4 years"	"4"	"Male"	"M"	"2015"	"2015"	92	346434	26.6
	"4 years"	"4"	"Male"	"M"	"2016"	"2016"	98	345745	28.3
	"4 years"	"4"	"Male"	"M"	"2017"	"2017"	81	346394	23.4
	"4 years"	"4"	"Male"	"M"	"2018"	"2018"	91	349944	26.0
	"4 years"	"4"	"Male"	"M"	"2019"	"2019"	75	348715	21.5
	"4 years"	"4"	"Male"	"M"	"2020 "	"2020"	82	349982	23.4
	"5 years"	"5"	"Female"	"F"	"2001"	"2001"	55	311775	17.6
	"5 years"	"5"	"Female"	"F"	"2002"	"2002"	64	306766	20.9
	"5 years"	"5"	"Female"	"F"	"2003"	"2003"	64	307147	20.8
	"5 years"	"5"	"Female"	"F"	"2004"	"2004"	82	305445	26.8
	"5 years"	"5"	"Female"	"F"	"2005"	"2005"	69	309442	22.3
	"5 years"	"5"	"Female"	"F"	"2006"	"2006"	59	321309	18.4
	"5 years"	"5"	"Female"	"F"	"2007"	"2007"	59	313890	18.8
	"5 years"	"5"	"Female"	"F"	"2008"	"2008"	52	310977	16.7
	"5 years"	"5"	"Female"	"F"	"2009"	"2009"	68	317854	21.4
	"5 years"	"5"	"Female"	"F"	"2010"	"2010"	40	322737	12.4
	"5 years"	"5"	"Female"	"F"	"2011"	"2011"	51	331853	15.4
	"5 years"	"5"	"Female"	"F"	"2012"	"2012"	64	341158	18.8
	"5 years"	"5"	"Female"	"F"	"2013"	"2013"	67	344919	19.4
	"5 years"	"5"	"Female"	"F"	"2014"	"2014"	48	335887	14.3
	"5 years"	"5"	"Female"	"F"	"2015"	"2015"	56	334136	16.8
	"5 years"	"5"	"Female"	"F"	"2016"	"2016"	71	334593	21.2
	"5 years"	"5"	"Female"	"F"	"2017"	"2017"	55	334091	16.5
	"5 years"	"5"	"Female"	"F"	"2018"	"2018"	40	336193	11.9
	"5 years"	"5"	"Female"	"F"	"2019"	"2019"	56	336731	16.6
