Gender,Age,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
M,48,1644,1654,1536,1480,1419,1545,1483,1614,1687,2144
M,49,1683,1734,1765,1713,1628,1642,1629,1646,1788,2428
M,50,2030,1966,1836,1822,1832,1750,1791,1832,1774,2451
M,51,2130,2218,2028,2059,2099,1999,2022,1914,1963,2400
M,52,2360,2350,2183,2214,2239,2350,2197,2164,2145,2727
M,53,2532,2477,2423,2446,2412,2412,2475,2433,2305,2894
M,54,2737,2632,2669,2578,2755,2686,2638,2722,2631,3343
M,55,2840,2995,2925,2801,2853,2898,2875,2943,2908,3680
M,56,3024,3033,3101,3051,3144,3102,3156,3089,3079,3835
M,57,2999,3126,3251,3352,3229,3387,3519,3463,3341,4193
M,58,2989,3168,3270,3418,3567,3596,3657,3601,3689,4515
M,59,3119,3214,3441,3555,3640,3713,3785,3820,3968,4869
M,60,3322,3293,3486,3609,3793,3880,4128,4022,3980,5182
M,61,3384,3401,3487,3700,3871,4096,4161,4284,4319,5496
M,62,3349,3487,3641,3802,3853,4037,4230,4420,4562,5678
M,63,3308,3448,3720,3825,4035,4142,4384,4500,4617,6197
M,64,3265,3497,3744,3730,3995,4237,4228,4473,4584,6062
M,65,2767,3364,3559,3772,3991,4333,4281,4525,4651,6100
M,66,2843,2906,3529,3746,4033,4150,4369,4452,4615,6220
M,67,2944,3072,3043,3561,3783,4037,4454,4631,4564,6004
M,68,3066,3052,3050,3156,3704,4086,4313,4552,4688,6012
M,69,2905,3034,3097,3205,3225,3930,4204,4415,4500,6112
M,70,2976,3060,3229,3219,3280,3451,4016,4306,4563,6184
M,71,2833,3012,3192,3257,3432,3410,3562,4216,4376,5861
M,72,2905,2937,3043,3236,3448,3446,3474,3582,4282,5933
M,73,2923,2840,3059,3113,3317,3543,3592,3777,3632,5771
M,74,2746,2841,3019,3234,3201,3453,3685,3619,3707,4974
M,75,2872,2841,2901,3079,3294,3305,3414,3834,3582,4773
M,76,2872,2921,3081,3055,3115,3235,3347,3570,3703,4930
M,77,2668,2959,2991,2946,3168,3123,3287,3446,3467,5029
M,78,2828,2796,2986,2952,3036,3103,3248,3371,3345,4718
M,79,2623,2815,2885,2933,3070,3129,3204,3310,3447,4358
M,80,2582,2772,2877,2887,3052,3031,3009,3212,3182,4361
M,81,2598,2595,2595,2748,2828,2959,3060,3096,3230,4148
M,82,2478,2604,2620,2648,2772,2864,3008,3062,3168,4097
M,83,2532,2476,2542,2520,2611,2766,2864,3022,3027,3827
M,84,2314,2438,2474,2393,2412,2582,2741,2726,2907,3806
M,85,2233,2268,2310,2292,2374,2391,2514,2651,2678,3618
M,86,2072,2138,2226,2191,2171,2214,2314,2445,2481,3243
M,87,1975,2029,2029,2081,2099,2097,2231,2241,2306,3083
M,88,1748,1781,1848,1937,1964,2048,1943,2149,2109,2753
M,89,1597,1618,1751,1726,1697,1801,1836,1843,1997,2465
M,90,1310,1421,1531,1580,1581,1611,1659,1677,1687,2239
M,91,1293,1184,1291,1342,1424,1390,1424,1519,1461,2014
M,92,941,1065,1103,1136,1177,1262,1308,1288,1335,1652
M,93,671,834,938,898,971,1068,1052,1090,1152,1450
M,94,603,678,734,732,810,856,868,908,934,1172
M,95,471,504,539,568,712,673,720,736,750,949
M,96,383,402,412,465,477,569,555,600,567,757
M,97,320,310,267,348,334,346,413,389,427,577
M,98,192,239,213,262,249,290,293,325,355,393
M,99,136,192,148,166,170,174,227,222,223,296
M,100,309,349,324,376,391,402,392,407,386,555
