label,value,year,Pop
Background,0.210563478861451,2020 - 2021,Finland
Compression,0.0992318752268577,2009 - 2010,Finland
Compression,0.0598036470835147,2010 - 2011,Finland
Compression,0.0960753964807062,2011 - 2012,Finland
Compression,-0.0157937605078666,2012 - 2013,Finland
Compression,0.110948921463609,2013 - 2014,Finland
Compression,0.0465411960818935,2014 - 2015,Finland
Compression,0.0533370982205753,2015 - 2016,Finland
Compression,0.0903897848791584,2016 - 2017,Finland
Compression,0.000608965683105929,2017 - 2018,Finland
Compression,0.0681714027100589,2018 - 2019,Finland
Compression,-0.0794761844084954,2019 - 2020,Finland
Compression,0.0665042217607251,2020 - 2021,Finland
Shift,0.190926217878938,2009 - 2010,Finland
Shift,0.385465709612884,2010 - 2011,Finland
Shift,0.165960250351519,2011 - 2012,Finland
Shift,0.275563347124592,2012 - 2013,Finland
Shift,0.278139936751726,2013 - 2014,Finland
Shift,0.160619683840741,2014 - 2015,Finland
Shift,-0.0320351042162655,2015 - 2016,Finland
Shift,0.346866227389641,2016 - 2017,Finland
Shift,0.152716393057021,2017 - 2018,Finland
Shift,0.387989361975478,2018 - 2019,Finland
Shift,-0.0305618723081736,2019 - 2020,Finland
Shift,-0.188615270130962,2020 - 2021,Finland
infant mortlaiy initial,0.00367386707869835,2009 - 2010,France
infant mortlaiy initial,0.00463610598394451,2010 - 2011,France
infant mortlaiy initial,-0.00355575135157079,2011 - 2012,France
infant mortlaiy initial,-0.00255346954361146,2012 - 2013,France
infant mortlaiy initial,0.00211629427795113,2013 - 2014,France
infant mortlaiy initial,-0.00300629035195745,2014 - 2015,France
infant mortlaiy initial,-8.57477183996667e-05,2015 - 2016,France
infant mortlaiy initial,-0.00112496600762644,2016 - 2017,France
infant mortlaiy initial,-0.00234486839840728,2017 - 2018,France
infant mortlaiy initial,0.0006155279345696,2018 - 2019,France
infant mortlaiy initial,0.0056652753382085,2019 - 2020,France
infant mortality decrease,0.0145962312166798,2009 - 2010,France
infant mortality decrease,-0.0135336811087594,2010 - 2011,France
infant mortality decrease,-0.0087922014408215,2011 - 2012,France
infant mortality decrease,0.00709952200603888,2012 - 2013,France
infant mortality decrease,-0.00738134031748308,2013 - 2014,France
infant mortality decrease,0.00916809277649419,2014 - 2015,France
infant mortality decrease,0.0212995341617301,2015 - 2016,France
infant mortality decrease,-0.0240785009884833,2016 - 2017,France
infant mortality decrease,0.00273109450317832,2017 - 2018,France
infant mortality decrease,-0.00725021269707408,2018 - 2019,France
infant mortality decrease,0.0279735174645322,2019 - 2020,France
Background,0.0514844697502768,2009 - 2010,France
Background,0.0276404917726086,2010 - 2011,France
Background,0.0213222207131387,2011 - 2012,France
Background,0.0269418173513629,2012 - 2013,France
Background,0.0583376145344077,2013 - 2014,France
Background,-0.124029026684226,2014 - 2015,France
Background,0.0593800898198497,2015 - 2016,France
Background,-0.0183990773515388,2016 - 2017,France
Background,-0.0243196349639935,2017 - 2018,France
Background,-0.0475151309977112,2018 - 2019,France
Background,0.0290598765307392,2019 - 2020,France
Compression,0.00224043470291792,2009 - 2010,France
Compression,-0.00935933373370388,2010 - 2011,France
Compression,0.119987615140081,2011 - 2012,France
Compression,0.00379309713105537,2012 - 2013,France
Compression,-0.0258388001295824,2013 - 2014,France
Compression,0.110684107977844,2014 - 2015,France
Compression,0.00406936562736306,2015 - 2016,France
Compression,0.0531219119340886,2016 - 2017,France
Compression,0.00219952050818727,2017 - 2018,France
Compression,0.0270446763535862,2018 - 2019,France
Compression,0.123691166076405,2019 - 2020,France
Shift,0.186144854754376,2009 - 2010,France
Shift,0.378787064472748,2010 - 2011,France
Shift,-0.0750764482052138,2011 - 2012,France
Shift,0.262213036484981,2012 - 2013,France
Shift,0.484643842757283,2013 - 2014,France
Shift,-0.247109220161883,2014 - 2015,France
Shift,0.24656878818777,2015 - 2016,France
Shift,0.101613074076745,2016 - 2017,France
Shift,0.17027132038406,2017 - 2018,France
Shift,0.238719629283531,2018 - 2019,France
Shift,-0.76135214234934,2019 - 2020,France
infant mortlaiy initial,0.00228748180326201,2009 - 2010,Germany
infant mortlaiy initial,-0.00318204851879505,2010 - 2011,Germany
infant mortlaiy initial,0.00834497475599608,2011 - 2012,Germany
infant mortlaiy initial,-0.00289902193441172,2012 - 2013,Germany
infant mortlaiy initial,0.00238519420816698,2013 - 2014,Germany
infant mortlaiy initial,0.00161223934287556,2014 - 2015,Germany
infant mortlaiy initial,-0.00833353380790968,2015 - 2016,Germany
infant mortlaiy initial,0.00705674916948604,2016 - 2017,Germany
infant mortlaiy initial,0.000888994305959355,2017 - 2018,Germany
infant mortlaiy initial,-0.000462349019128292,2018 - 2019,Germany
infant mortlaiy initial,0.00505396077868192,2019 - 2020,Germany
infant mortality decrease,0.0134958779380566,2009 - 2010,Germany
infant mortality decrease,-0.00118557842670659,2010 - 2011,Germany
infant mortality decrease,-0.000324160511438695,2011 - 2012,Germany
infant mortality decrease,-0.00710080279095991,2012 - 2013,Germany
infant mortality decrease,0.016531462956728,2013 - 2014,Germany
infant mortality decrease,-0.0144882301114261,2014 - 2015,Germany
infant mortality decrease,0.000534993055799532,2015 - 2016,Germany
infant mortality decrease,-0.000421636973123555,2016 - 2017,Germany
infant mortality decrease,0.00424154045804139,2017 - 2018,Germany
infant mortality decrease,-0.00356426350205494,2018 - 2019,Germany
infant mortality decrease,0.0139914292680958,2019 - 2020,Germany
Background,0.0319064620742946,2009 - 2010,Germany
Background,-0.00564658207599156,2010 - 2011,Germany
Background,0.0307717932662915,2011 - 2012,Germany
Background,0.055400368209956,2012 - 2013,Germany
Background,0.00729394048030366,2013 - 2014,Germany
Background,-0.0217053560893339,2014 - 2015,Germany
Background,0.0233304144701077,2015 - 2016,Germany
Background,0.0436726605427728,2016 - 2017,Germany
Background,-0.026868307828228,2017 - 2018,Germany
Background,0.0244899025447798,2018 - 2019,Germany
Background,0.0278854491355892,2019 - 2020,Germany
Compression,-0.0236950496836464,2009 - 2010,Germany
Compression,0.00991336082411722,2010 - 2011,Germany
Compression,0.048211134821423,2011 - 2012,Germany
Compression,0.0118928873969453,2012 - 2013,Germany
Compression,-0.0410164926388893,2013 - 2014,Germany
Compression,0.0395088187629972,2014 - 2015,Germany
Compression,-0.034687631552029,2015 - 2016,Germany
Compression,0.0628132548726541,2016 - 2017,Germany
Compression,-0.0170373516706676,2017 - 2018,Germany
Compression,-0.0209159618030965,2018 - 2019,Germany
Compression,0.0357106688754416,2019 - 2020,Germany
Shift,0.186250039153997,2009 - 2010,Germany
