gender,age,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
F,28,1211827.29379281,1220085.99038797,1228144.07852689,1222777.70111503,1215679.06593416,1229145.32870692,1263450.35629048,1289124.72089578,1280029.01619005,1243207.25373226
F,29,1221124.96815205,1212041.67973495,1215423.98767056,1228570.62597376,1232080.63559011,1222217.11889724,1224547.71934894,1255956.36309327,1292120.20622068,1289615.57560074
F,30,1225210.78971672,1219159.91527896,1214066.47532346,1222939.39502215,1231912.39761274,1226480.86705087,1218466.29599271,1230742.2888835,1264334.7733587,1289748.32555158
F,31,1211858.12677105,1228261.69195494,1222882.92964719,1214521.63050747,1218377.84155189,1231283.32633542,1234245.79994172,1223501.76874357,1224812.55876506,1255406.48560346
F,32,1174098.54753285,1211067.00407545,1226510.78111766,1220927.38413718,1216213.92594819,1225213.76360365,1233934.60568126,1227282.82629967,1218026.44547417,1229796.68020591
F,33,1132577.12704944,1172985.85280446,1212768.74696721,1229557.55488031,1224651.25374808,1216455.05386986,1219933.06795317,1231611.59446717,1233847.72448102,1222978.58086406
F,34,1117628.97796748,1137644.91654814,1174792.80133534,1212017.27640736,1227822.73419727,1222237.40807159,1217142.57002722,1225367.17204046,1233534.36282657,1226429.19041407
F,35,1119509.84878004,1115901.63186079,1132759.07447169,1173334.80272907,1213552.42117572,1230410.30626001,1225114.46629307,1216185.69277011,1218728.53175026,1229865.77788413
F,36,1108316.23371544,1110442.11934712,1117308.53806362,1137673.42624526,1175229.38762853,1212374.21672951,1227577.76267418,1221111.71632303,1215136.54286736,1223198.84821123
F,37,1101343.59975003,1113816.78064755,1119322.17393565,1115830.22717687,1132637.37350751,1172954.62741099,1212629.80160218,1228757.16187731,1222880.13917794,1213785.35672801
F,38,1143778.54943858,1114243.69938143,1108122.12219059,1109835.41031965,1116721.7316872,1137171.68838446,1174281.42574016,1210678.69505325,1225216.83559085,1218359.51890945
F,39,1229864.72219432,1133191.91280641,1100187.00004946,1112703.54559772,1118901.8055574,1115536.09567569,1131601.95629323,1171087.09376295,1210112.09525664,1225942.56934228
F,40,1310436.2933885,1213926.46097879,1141827.09483863,1113253.60549296,1107561.4870732,1108834.05773801,1115181.76565957,1135135.66710819,1171715.64656844,1207775.83124195
F,41,1347059.01191973,1323753.68640787,1228112.35049222,1131850.89446883,1098431.35361332,1110711.27804762,1117199.97620916,1113376.7175748,1128665.40098744,1167693.10935437
F,42,1321616.78327632,1354850.26270725,1308118.53338166,1211106.82341274,1139229.7215458,1111366.38464267,1105846.54911718,1106162.71480426,1111825.78163887,1131654.2966137
F,43,1276455.72483064,1306713.66017252,1343292.64987094,1320243.84296721,1225892.31886733,1130024.05287679,1095918.60831208,1107580.47071566,1114053.68907107,1110150.82950982
F,44,1288832.59261815,1273515.23499928,1317794.62233112,1351780.50715695,1305373.13218066,1207878.08797579,1135814.75573174,1108446.83098274,1102786.80499759,1102454.25417025
F,45,1363266.16080789,1292043.20250385,1272746.95619595,1302871.83190448,1338807.33205918,1315923.18474896,1222415.28585061,1126838.21675578,1091810.87715129,1103030.61197825
F,46,1443471.17855846,1356431.96903261,1284089.42645208,1268642.17392467,1312995.2053389,1347655.05267005,1301192.18598481,1202928.70737981,1130539.87886771,1103806.01218611
F,47,1501311.74323144,1442460.43518674,1357598.1104218,1286872.0058258,1268050.09638145,1298021.07348055,1332964.72698266,1309628.63851849,1216993.8175399,1121916.14493498
F,48,1542455.63924096,1504257.38850781,1437030.00563997,1350358.16285294,1278378.52161715,1262684.66963398,1306764.66586561,1341519.60430675,1295131.85379426,1196331.00691988
F,49,1572044.94896342,1532686.82315738,1493534.90408599,1435035.6887111,1350857.43822631,1280415.72670668,1261748.92675776,1291289.83449578,1325308.21837852,1301742.87403206
F,50,1592667.06173985,1560306.7039189,1533461.64763987,1495925.40019524,1429247.96149757,1342856.21096389,1270955.06893635,1254940.4259885,1298821.75317775,1333834.38481079
F,51,1604547.92047893,1592611.44994419,1562230.62192726,1523194.35957584,1484058.61436149,1426074.04678052,1342362.4326279,1272197.26132087,1253894.31681873,1283029.97448176
F,52,1605708.0611088,1605209.36494179,1581901.79758704,1549263.51295459,1522579.66814213,1485906.3469942,1419692.34908402,1333506.23949283,1261965.2093545,1245645.453644
F,53,1598152.79993579,1596176.4871191,1592665.78214741,1580485.13677883,1550567.68671762,1511841.34096117,1472724.75200419,1415042.54325888,1332066.6693493,1262351.06784233
F,54,1587699.0883192,1588168.66332934,1592934.98463629,1592537.6275098,1569276.39012238,1536205.59331653,1509660.95354385,1473649.65011953,1408102.4461985,1322252.45089628
F,55,1572452.82225115,1583771.31415019,1584630.64264019,1582675.07195666,1578726.57945336,1566206.36572313,1536668.40627842,1498218.25121471,1459211.73540288,1401643.14428977
F,56,1542865.20419508,1563793.43241919,1573215.48697355,1573346.29595369,1577845.32002177,1577554.68846117,1554248.87576725,1520815.34132706,1494468.80380076,1458825.91331703
F,57,1504582.451862,1529540.93565972,1557078.22978901,1567849.52520644,1568618.37979907,1566715.02253092,1562266.82231765,1549441.35961007,1520454.19044272,1482192.96174108
F,58,1478413.15001357,1504525.52765374,1527135.49309119,1547347.69438361,1556250.24341116,1556019.95421831,1560219.04934731,1559924.2017206,1536847.88344335,1503018.89776554
F,59,1455596.63181864,1483654.96091632,1488375.10747385,1512480.94133559,1539303.8762833,1549435.9683434,1550094.05882722,1547965.21813069,1543264.82438538,1529936.82687837
F,60,1396097.57121933,1430459.1557021,1460746.10260435,1486391.87103908,1508893.18926907,1528314.95232668,1536589.89676375,1535717.30630616,1539760.73352398,1539269.11473497
F,61,1328573.622054,1360867.51760205,1436742.15487976,1464792.00203857,1469369.42675569,1492629.33079022,1518465.88202094,1527822.95838368,1528440.95046613,1526121.7099034
F,62,1354057.98989476,1346874.65836922,1377949.68519227,1411370.39311864,1440071.53741973,1465291.84533896,1487431.74476094,1505947.72320095,1513671.73710626,1512283.24672949
F,63,1440192.06470293,1387551.21586472,1310134.19974359,1340568.60541652,1414750.54276593,1442828.5909291,1447241.36609813,1469365.09319983,1494352.09790456,1502931.36122618
